City,Lat,Lng,Max Temp,Humidity,Cloudiness, Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,20.84,68,68,5.08,ZA,1645080609
Hermanus,-34.4187,19.2345,20.5,60,0,7.7,ZA,1645080610
Gondanglegi,-7.7479,112.0132,27.93,78,100,2.96,ID,1645080610
Beringovskiy,63.05,179.3167,-24.66,95,100,6.7,RU,1645080611
Judenburg,47.1667,14.6667,2.96,93,20,1.54,AT,1645080611
Kiunga,-6.1219,141.2906,30.95,60,91,1.88,PG,1645080611
Hong Kong,22.2855,114.1577,17.2,91,100,8.49,HK,1645080344
Saryg-Sep,51.5,95.6,-13.41,85,90,1.55,RU,1645080612
Hambantota,6.1241,81.1185,32.19,62,40,1.03,LK,1645080613
Xining,36.6167,101.7667,-0.15,50,100,2.11,CN,1645080613
Nyimba,-14.5566,30.8149,21.58,94,100,1.48,ZM,1645080613
Teya,60.3778,92.6267,-13.01,85,100,4.28,RU,1645080614
Grand Gaube,-20.0064,57.6608,30.21,66,99,3.13,MU,1645080614
Airai,-8.9266,125.4092,21.03,76,91,1.27,TL,1645080615
Tuktoyaktuk,69.4541,-133.0374,-30,69,75,6.17,CA,1645080541
Bredasdorp,-34.5322,20.0403,19.6,72,7,2.57,ZA,1645080616
Tuatapere,-46.1333,167.6833,19.6,63,28,0.61,NZ,1645080616
Bathsheba,13.2167,-59.5167,25.34,69,20,9.77,BB,1645080617
Port Hardy,50.6996,-127.4199,6.53,93,75,1.54,CA,1645080617
New Norfolk,-42.7826,147.0587,24.31,25,100,2.68,AU,1645080617
Ust-Nera,64.5667,143.2,-31.68,100,26,0.17,RU,1645080618
Ancud,-41.8697,-73.8203,10.13,77,0,2.59,CL,1645080397
Kollam,8.8833,76.6,29.93,62,88,2.91,IN,1645080618
Atuona,-9.8,-139.0333,25.3,79,16,7.36,PF,1645080619
Albany,42.6001,-73.9662,9.89,73,100,4.73,US,1645080514
Sambava,-14.2667,50.1667,29.03,66,61,5.43,MG,1645080619
Kinablangan,7.6947,126.5503,27.85,66,100,4.32,PH,1645080620
Mattru,7.6244,-11.8332,22.76,98,100,0.83,SL,1645080620
Vilyuysk,63.7553,121.6247,-21.66,89,100,1.39,RU,1645080621
Cape Town,-33.9258,18.4232,21.6,58,0,2.06,ZA,1645080621
Barrow,71.2906,-156.7887,-27.99,69,75,4.12,US,1645080622
Natal,-5.795,-35.2094,25.12,94,40,0.51,BR,1645080051
Kushima,31.4583,131.2333,8.02,41,100,3.98,JP,1645080622
Nikolskoye,59.7035,30.7861,1.94,98,100,7.24,RU,1645080623
Vaini,-21.2,-175.2,27.09,89,20,1.54,TO,1645080623
Münster,51.9624,7.6257,10.26,70,40,11.83,DE,1645080445
Hobart,-42.8794,147.3294,24.51,23,0,8.23,AU,1645080508
Roald,62.5833,6.1333,2.08,87,40,2.57,NO,1645080624
Bonavista,48.6499,-53.1147,-7.71,78,100,8.83,CA,1645080624
Port Elizabeth,-33.918,25.5701,21.16,64,0,5.66,ZA,1645080625
East London,-33.0153,27.9116,21.52,64,0,6.69,ZA,1645080625
Aykhal,66,111.5,-28.66,95,24,2.68,RU,1645080626
Qaanaaq,77.484,-69.3632,-28.75,96,99,0.49,GL,1645080626
