Lat,Lng,Max Temp,Humidity,Cloudiness, Wind Speed,Country,Date
albany,-73.9662,267.01,75,1645001712,US,1.67
kununurra,128.7333,307.14,49,1645001041,AU,3.09
punta arenas,-70.9167,276.21,81,1645001544,CL,3.6
yellowknife,-114.3525,238.44,75,1645001713,CA,3.6
kodiak,-152.4072,279.88,76,1645001157,US,6.17
attawapiskat,-53.48,295.48,97,1645001714,BR,0.33
prainha,140.8333,282.37,44,1645001715,JP,5.39
barentsburg,81.0453,261.05,83,1645001716,KZ,2.11
illoqqortoormiut,50.8122,299.13,49,1645001716,SO,8.58
hasaki,167.4833,299.45,82,1645001311,NC,9.74
samusu,67.2783,284.2,37,1645001717,UZ,2.06
belushya guba,39.5131,264.14,95,1645001718,RU,3.33
shar,-156.7887,244.16,69,1645001718,US,6.17
bandarbeyla,-134.9692,298.58,73,1645001719,PF,5.66
vao,-68.3,275.96,81,1645001591,AR,2.57
ituni,-22.4338,271.41,100,1645001330,IS,4.12
termiz,10.85,285.32,51,1645001719,LY,6.84
ostrovnoy,-175.2,298.24,94,1645001720,TO,3.09
barrow,-7.3528,300.98,78,1645001721,CI,2.72
rikitea,-35.2086,297.36,79,1645001721,BR,1.32
ushuaia,-122.8345,278.23,86,1645001722,US,0.31
grindavik,-86.0689,281.22,68,1645001722,US,5.66
nalut,-75.833,269.17,69,1645001723,US,4.92
vaini,-75.6753,294.94,99,1645001723,PE,0.63
tabou,42.5053,292.05,48,1645001724,SA,4.63
nisia floresta,-139.0333,298.23,80,1645001724,PF,7.58
jackson,40.2803,279.72,61,1645001725,RU,0.56
peru,147.3294,294.27,55,1645001725,AU,5.66
broome,70.9822,298.74,45,1645001726,IN,4.61
kerteh,39.7666,305.22,54,1645001726,TZ,2.47
lagunas,100.3354,305.11,73,1645001636,MY,4.12
abha,114.0833,239.21,99,1645001727,RU,3.15
atuona,96.37,254.52,94,1645001227,RU,0.75
temirgoyevskaya,19.2345,295.87,79,1645001727,ZA,4.97
hobart,-52.7314,262.91,77,1645001143,CA,9.26
diu,-158.0072,296.17,73,1645001728,US,2.68
chake chake,-37.6368,269.31,91,1645001728,GL,11.43
georgetown,122.7875,301.94,75,1645001729,ID,0.21
saskylakh,102.5,245.3,95,1645001729,RU,2.65
baykit,-16.3415,289.36,55,1645001730,PT,6.69
hermanus,147.0587,294.07,48,1645001730,AU,0.89
torbay,168.3333,285.7,78,1645001731,NZ,2.18
ewa beach,113.6333,310.19,44,1645001731,AU,6.69
tasiilaq,-76.2167,293.18,77,1645001694,PE,4.63
luwuk,168.8643,283.06,80,1645001732,NZ,0.42
khatanga,-89.689,281.54,71,1645001733,US,3.6
porto santo,73.0833,301.48,68,1645001733,MV,7.51
new norfolk,-159.775,299.18,83,1645001561,CK,6.69
bluff,-135.0107,240.61,98,1645001734,CA,2.29
carnarvon,-87.4886,286.17,49,1645001734,US,0.89
pisco,-34.8339,297.52,69,1645001230,BR,3.32
mataura,145.7667,301.52,83,1645001795,AU,2.57
tome-acu,26.891,296.3,85,1645001795,ZA,10.8
saleaula,-151.2583,272.61,97,1645001796,US,5.14
rock falls,-72.3287,265.49,70,1645001796,US,1.11
hithadhoo,80.5464,244.7,89,1645001797,RU,1.48
avarua,57.7575,302.71,100,1645001797,MU,5.14
aklavik,115.3333,307.64,35,1645001798,AU,8.63
hopkinsville,-123.1698,265.27,93,1645001798,CA,1.03
warqla,-107.5464,274.17,90,1645001799,US,0.99
torres,35.2406,292.95,90,1645001799,MZ,2.18
cabedelo,124.2928,296.29,83,1645001477,PH,2.15
cairns,-66.8522,297.19,75,1645001800,VE,0
port alfred,-73,291.75,96,1645001800,PE,1.1
hihifo,-114.0611,288.87,68,1645001800,MX,4.05
kenai,140.3,283.23,52,1645001801,JP,12.19
palmer,166.1,245.81,93,1645001232,RU,5
dikson,-90.3518,297.34,94,1645001801,EC,1.79
marcona,-126.8329,235.17,67,1645001802,CA,1.54
bambous virieux,-6.589,273.66,95,1645001802,FO,8.11
busselton,-73.414,269.53,71,1645001547,US,0
mackenzie,-133.0374,241.57,99,1645001803,CA,5.1
craig,147.9167,235.98,100,1645001803,RU,1.22
lichinga,-149.15,299.16,73,1645001804,PF,6.91
marawi,30.7861,276.97,94,1645001804,RU,4.12
caraballeda,-79.8626,282.59,95,1645001668,US,2.57
pangoa,88.3972,246.38,90,1645001805,RU,1.41
guerrero negro,98.7792,300.46,80,1645001805,ID,1.69
katsuura,47.8333,300.6,79,1645001806,MG,4.33
tilichiki,-69.3632,243.58,92,1645001807,GL,2.47
puerto ayora,173.1667,290.47,78,1645001807,NZ,3.52
norman wells,-72.8521,273.14,57,1645001808,US,4.72
klaksvik,106.3439,272.15,29,1645001808,CN,1.84
bethel,-179.1667,246.52,89,1645001809,RU,5.57
tuktoyaktuk,102.3333,302.35,62,1645001809,TH,0.63
chokurdakh,-60.6333,294.1,99,1645001809,BR,0.02
tautira,-122.4194,286.97,52,1645001549,US,5.66
nikolskoye,134.0833,298.64,86,1645001810,ID,1.96
mount pleasant,85.85,303.44,49,1645001811,IN,4.32
talnakh,20.5791,289.06,55,1645001811,LY,9.44
taolanaro,-79.2353,274.1,49,1645001663,US,6.17
sibolga,18.4232,295.99,70,1645001651,ZA,8.23
mys shmidta,-112.4455,271.86,90,1645001812,US,7.6
farafangana,102.2655,302.91,61,1645001812,ID,3.06
barawe,-79.1469,294.78,75,1645001813,PE,2.76
qaanaaq,20.0403,292.19,88,1645001813,ZA,4.12
ahipara,21.5482,290.29,39,1645001813,LY,5.42
mastic beach,128.8694,242.72,99,1645001814,RU,1.16
hallingby,178.4167,245.25,98,1645001814,RU,2.99
shitanjing,-27.9833,289.52,85,1645001815,PT,8.93
egvekinot,-122.4286,286.66,59,1645001815,US,5.14
sa kaeo,161.9205,300.64,79,1645001816,SB,0.83
aripuana,24.15,277.24,92,1645001816,RO,1.32
san francisco,-72.2042,295.8,82,1645001625,HT,3.43
manokwari,125.4092,292.4,82,1645001877,TL,0.93
puri,-173.3,253.17,90,1645001877,RU,6.64
tukrah,-42.0278,297.16,86,1645001877,BR,3.17
jamestown,-17.3389,273.1,77,1645001835,IS,12.71
cape town,78.2833,297.35,34,1645001878,IN,4.16
pocatello,-16.9667,290.4,78,1645001879,PT,6.17
bengkulu,-51.1908,295.32,91,1645001606,BR,1.39
chicama,-135.33,277.09,93,1645001879,US,2.06
bredasdorp,-64.6167,297.59,80,1645001879,VG,10.37
jalu,101.2884,306.14,79,1645001880,MY,2.11
tiksi,67.4158,263.86,93,1645001880,KZ,5.61
leningradskiy,16.8167,295.07,91,1645001881,CD,0.54
lagoa,-51.5953,292.96,95,1645001881,BR,4.9
half moon bay,143.1167,258,96,1645001882,RU,1.92
kirakira,106.2731,275.24,25,1645001868,CN,3.43
botiza,51.7167,267.26,90,1645001883,RU,2.21
cap-haitien,-105.2842,248.29,70,1645001883,CA,6.17
isangel,172.7902,301.15,76,1645001883,KI,8.11
airai,25.5701,298.31,73,1645001884,ZA,11.83
provideniya,-59.5167,298.49,73,1645001884,BB,11.83
arraial do cabo,147.2712,299.31,84,1645001885,PG,2.52
husavik,-169.9187,297.09,88,1645001885,NU,0.51
hasanpur,36.9856,300.66,81,1645001886,MZ,0.48
camara de lobos,-124.1573,281.66,86,1645001886,US,5.14
paranaiba,29.0864,273.12,64,1645001886,NO,8.23
sitka,12.1522,298.5,78,1645001658,AO,0
road town,75.6892,268.38,70,1645001887,KG,1.91
bidor,-43.0225,296.63,88,1645001888,BR,1.91
sergeyevka,-53.4641,255.81,95,1645001888,GL,9.47
kasongo-lunda,103.7519,255.97,90,1645001888,RU,0.51
phun phin,-84.3225,299.02,67,1645001889,CR,2.11
centenario do sul,-159.319,292.7,76,1645001890,US,0.45
poronaysk,-35.4608,296.65,75,1645001395,BR,3.45
yinchuan,24.7314,294.75,70,1645001890,ZA,11.27
solovetskiy,-16.5469,293.25,18,1645001891,SN,4.54
borskoye,7.3853,299.98,8,1645001891,NE,1.13
la ronge,69.4481,287.14,17,1645001892,PK,2.7
butaritari,-97.8558,255.24,85,1645001892,CA,1.54
port elizabeth,16.1194,270.14,68,1645001893,NO,11.83
bathsheba,2.159,285.8,61,1645001893,ES,4.63
lorengau,48.5268,300.68,58,1645001894,SO,9.01
alofi,121.9711,303.18,75,1645001894,PH,1.26
mocuba,-151.75,300.05,75,1645001894,PF,6.86
fortuna,114.6,307.38,36,1645001895,AU,10.8
berlevag,-155.09,293.37,78,1645001895,US,1.17
namibe,35.3833,304.14,58,1645001896,MZ,6.26
kemin,161.3,235.82,100,1645001896,RU,1.34
lolua,-111.9833,289.97,36,1645001897,MX,4.53
floriano,-117.2306,280.45,84,1645001897,US,3.09
kangaatsiaq,121.6247,242.58,100,1645001897,RU,1.95
rudnogorsk,-147.7164,254.4,77,1645001764,US,0.45
parrita,57.7,302.73,100,1645001703,MU,5.14
kapaa,-45.2371,258.5,70,1645001314,GL,11.44
touros,-3.9836,291.73,21,1645001899,ML,9.54
kruisfontein,17.3667,299.97,72,1645001709,CD,2.01
oussouye,70.7031,298.75,41,1645001959,IN,4.16
arlit,-51.1922,253.01,97,1645001960,GL,2.59
zhob,133.0839,268.25,70,1645001960,RU,6.5
tsihombe,-20.2734,274.7,75,1645001961,IS,3.09
thompson,111.5,244.49,100,1645001961,RU,2.1
andenes,121.9,296.06,69,1645001962,AU,6.3
barcelona,143.3,258.84,79,1645001962,RU,4.28
hobyo,19.0305,280.37,81,1645001962,HU,3.61
isabela,-54.3333,289.26,78,1645001963,UY,3.25
faanui,-123.9178,276.76,90,1645001963,US,1.29
geraldton,-69.2181,277.18,75,1645001964,AR,5.14
hilo,-66.3814,292.77,92,1645001964,VE,1.8
inhambane,-40.8894,290.82,98,1645001965,BR,1.75
cherskiy,153.6833,237.66,100,1645001965,RU,0.63
mulege,-68.5145,241,75,1645001966,CA,3.09
moreno valley,-171,246.68,93,1645001966,RU,4.25
vilyuysk,156.125,270.33,76,1645001966,RU,4.03
grand river south east,52.3409,285.38,36,1645001967,IR,3.03
fairbanks,108.8,295.91,93,1645001863,VN,1.35
mahebourg,16.5887,289.06,74,1645001707,LY,9.12
nanortalik,140.7667,292.1,59,1645001689,AU,5.14
taoudenni,14.4283,290.49,23,1645001968,LY,2.7
bandundu,-65.7852,299.69,50,1645001969,AR,3.05
gawler,55.7679,302.92,81,1645001969,RE,6.5
kodinar,12.6934,273.07,50,1645001970,NO,12.55
qasigiannguit,124.1572,290.22,94,1645001970,JP,8.75
vrangel,-70.1431,294.17,75,1645001970,CL,1.38
vestmannaeyjar,-56.1549,246.2,95,1645001971,GL,5.99
vaitupu,95.3167,309.34,21,1645001971,MM,3.5
aykhal,-17.1,290.4,66,1645001972,PT,3.47
esperance,-74.8429,295.83,69,1645001972,CO,1.06
